train_loss: 0.091028,train_acc：0.970834
train_loss: 0.088455,train_acc：0.972139
train_loss: 0.091883,train_acc：0.970517
train_loss: 0.087978,train_acc：0.971391
train_loss: 0.083825,train_acc：0.972413
train_loss: 0.091571,train_acc：0.969833
train_loss: 0.091248,train_acc：0.970373
train_loss: 0.084792,train_acc：0.972130
train_loss: 0.092498,train_acc：0.970942
train_loss: 0.080734,train_acc：0.974770
train_loss: 0.086710,train_acc：0.971633
train_loss: 0.085488,train_acc：0.973591
train_loss: 0.084751,train_acc：0.973044
train_loss: 0.084720,train_acc：0.972428
train_loss: 0.082048,train_acc：0.974947
train_loss: 0.081971,train_acc：0.973135
train_loss: 0.085034,train_acc：0.972545
train_loss: 0.080347,train_acc：0.973674
train_loss: 0.079804,train_acc：0.974880
train_loss: 0.082162,train_acc：0.972951
train_loss: 0.087603,train_acc：0.972195
train_loss: 0.077885,train_acc：0.975088
train_loss: 0.077057,train_acc：0.974902
train_loss: 0.085001,train_acc：0.973491
train_loss: 0.082408,train_acc：0.974442
train_loss: 0.085389,train_acc：0.972508
train_loss: 0.078313,train_acc：0.974956
train_loss: 0.081439,train_acc：0.974077
train_loss: 0.082876,train_acc：0.972296
train_loss: 0.079381,train_acc：0.974349
train_loss: 0.076042,train_acc：0.975458
train_loss: 0.080320,train_acc：0.975103
train_loss: 0.079022,train_acc：0.974686
train_loss: 0.081749,train_acc：0.973648
train_loss: 0.077833,train_acc：0.975543
train_loss: 0.076230,train_acc：0.976002
train_loss: 0.076952,train_acc：0.975438
train_loss: 0.079469,train_acc：0.973893
train_loss: 0.081710,train_acc：0.974033
train_loss: 0.077195,train_acc：0.974670
train_loss: 0.073375,train_acc：0.975993
train_loss: 0.075915,train_acc：0.975213
train_loss: 0.076860,train_acc：0.974794
train_loss: 0.078875,train_acc：0.974893
train_loss: 0.078319,train_acc：0.975885
train_loss: 0.072604,train_acc：0.976328
train_loss: 0.074935,train_acc：0.975333
train_loss: 0.071144,train_acc：0.978139
train_loss: 0.078525,train_acc：0.974826
train_loss: 0.072027,train_acc：0.977219
train_loss: 0.071356,train_acc：0.977008
train_loss: 0.073806,train_acc：0.976839
train_loss: 0.070930,train_acc：0.977212
train_loss: 0.070622,train_acc：0.976556
train_loss: 0.073505,train_acc：0.975656
train_loss: 0.070010,train_acc：0.976798
train_loss: 0.070550,train_acc：0.978215
train_loss: 0.076833,train_acc：0.976027
train_loss: 0.071642,train_acc：0.977281
train_loss: 0.071216,train_acc：0.977916
train_loss: 0.069957,train_acc：0.977954
train_loss: 0.071405,train_acc：0.976505
train_loss: 0.064950,train_acc：0.978866
train_loss: 0.073093,train_acc：0.977062
train_loss: 0.070347,train_acc：0.977881
train_loss: 0.067489,train_acc：0.979793
train_loss: 0.062363,train_acc：0.979138
train_loss: 0.067967,train_acc：0.977829
train_loss: 0.067346,train_acc：0.978966
train_loss: 0.067342,train_acc：0.979233
train_loss: 0.069539,train_acc：0.978224
train_loss: 0.073622,train_acc：0.976459
train_loss: 0.066943,train_acc：0.978555
train_loss: 0.065949,train_acc：0.978756
train_loss: 0.066262,train_acc：0.978825
train_loss: 0.069195,train_acc：0.978868
train_loss: 0.062985,train_acc：0.979743
train_loss: 0.066222,train_acc：0.979475
train_loss: 0.068765,train_acc：0.977941
train_loss: 0.064368,train_acc：0.980651
train_loss: 0.059242,train_acc：0.981397
train_loss: 0.064273,train_acc：0.979086
train_loss: 0.062504,train_acc：0.979127
train_loss: 0.067990,train_acc：0.977509
train_loss: 0.062083,train_acc：0.979473
train_loss: 0.065127,train_acc：0.979268
train_loss: 0.066333,train_acc：0.979035
train_loss: 0.064567,train_acc：0.979406
train_loss: 0.059426,train_acc：0.980752
train_loss: 0.059134,train_acc：0.981549
train_loss: 0.064722,train_acc：0.980607
train_loss: 0.062219,train_acc：0.980633
train_loss: 0.059127,train_acc：0.981352
train_loss: 0.061646,train_acc：0.979674
train_loss: 0.063532,train_acc：0.980622
train_loss: 0.065099,train_acc：0.979438
train_loss: 0.065359,train_acc：0.979686
train_loss: 0.056228,train_acc：0.981199
train_loss: 0.060669,train_acc：0.981147
train_loss: 0.064742,train_acc：0.979089
train_loss: 0.061569,train_acc：0.980704
train_loss: 0.058064,train_acc：0.980914
train_loss: 0.065473,train_acc：0.979206
train_loss: 0.059315,train_acc：0.980739
train_loss: 0.061654,train_acc：0.980108
train_loss: 0.061844,train_acc：0.979853
train_loss: 0.059658,train_acc：0.981076
train_loss: 0.057257,train_acc：0.981896
train_loss: 0.061103,train_acc：0.980955
train_loss: 0.058470,train_acc：0.981741
train_loss: 0.053223,train_acc：0.981953
train_loss: 0.061685,train_acc：0.979987
train_loss: 0.065168,train_acc：0.979931
train_loss: 0.057349,train_acc：0.981910
train_loss: 0.056456,train_acc：0.981540
train_loss: 0.057212,train_acc：0.981892
train_loss: 0.056347,train_acc：0.982050
train_loss: 0.056471,train_acc：0.982251
train_loss: 0.059016,train_acc：0.981534
train_loss: 0.056283,train_acc：0.981085
train_loss: 0.058397,train_acc：0.981892
train_loss: 0.059303,train_acc：0.980927
train_loss: 0.059353,train_acc：0.980352
train_loss: 0.061539,train_acc：0.980534
train_loss: 0.055841,train_acc：0.982351
train_loss: 0.055210,train_acc：0.982305
train_loss: 0.053700,train_acc：0.983461
train_loss: 0.055462,train_acc：0.982657
train_loss: 0.054210,train_acc：0.983036
train_loss: 0.058846,train_acc：0.981352
train_loss: 0.060913,train_acc：0.980268
train_loss: 0.058619,train_acc：0.981684
train_loss: 0.053559,train_acc：0.982819
train_loss: 0.054021,train_acc：0.983366
train_loss: 0.053276,train_acc：0.982839
train_loss: 0.055199,train_acc：0.982298
train_loss: 0.053881,train_acc：0.982622
train_loss: 0.056991,train_acc：0.982170
train_loss: 0.052219,train_acc：0.983225
train_loss: 0.057742,train_acc：0.981415
train_loss: 0.050822,train_acc：0.983577
train_loss: 0.054721,train_acc：0.982298
train_loss: 0.050584,train_acc：0.983672
train_loss: 0.050933,train_acc：0.983958
train_loss: 0.050844,train_acc：0.984196
train_loss: 0.055053,train_acc：0.982983
train_loss: 0.054081,train_acc：0.983219
train_loss: 0.052563,train_acc：0.983426
train_loss: 0.053143,train_acc：0.982901
train_loss: 0.046696,train_acc：0.984444
train_loss: 0.053771,train_acc：0.982748
train_loss: 0.051954,train_acc：0.983822
train_loss: 0.050658,train_acc：0.983970
train_loss: 0.053767,train_acc：0.983431
train_loss: 0.050863,train_acc：0.984476
train_loss: 0.050670,train_acc：0.983824
train_loss: 0.049815,train_acc：0.983804
train_loss: 0.057499,train_acc：0.981657
train_loss: 0.053247,train_acc：0.983307
train_loss: 0.049621,train_acc：0.983681
train_loss: 0.053813,train_acc：0.982903
train_loss: 0.051943,train_acc：0.983775
train_loss: 0.047886,train_acc：0.984152
train_loss: 0.051568,train_acc：0.984005
train_loss: 0.049485,train_acc：0.983746
train_loss: 0.051742,train_acc：0.983781
train_loss: 0.047342,train_acc：0.984511
train_loss: 0.053722,train_acc：0.983454
train_loss: 0.050754,train_acc：0.984096
train_loss: 0.052256,train_acc：0.983813
train_loss: 0.049479,train_acc：0.984539
train_loss: 0.054291,train_acc：0.982242
train_loss: 0.052310,train_acc：0.983348
train_loss: 0.047976,train_acc：0.983558
train_loss: 0.049797,train_acc：0.985066
train_loss: 0.048308,train_acc：0.984476
